task_id,task_name,arrival_time,execution_time,deadline,priority,cpu_req,memory_req,storage_req,data_transfer_size,task_type,dependencies,sla_critical
T1,Task_1,44,2,30,1,1,1515,640,309,data-intensive,,False
T2,Task_2,38,9,43,5,3,1148,186,312,data-intensive,,True
T3,Task_3,31,5,74,3,4,550,961,251,data-intensive,T1,True
T4,Task_4,10,1,73,1,2,1091,380,48,computation,T3,False
T5,Task_5,40,2,41,4,1,1303,278,81,data-intensive,,False
T6,Task_6,16,10,91,2,4,960,840,138,computation,,False
T7,Task_7,21,6,57,4,1,618,266,12,computation,T6,False
T8,Task_8,22,9,60,5,2,481,304,427,computation,,True
T9,Task_9,5,10,58,4,4,1721,473,330,IO-bound,T1,False
T10,Task_10,21,10,45,3,4,1519,944,148,computation,,True
T11,Task_11,0,1,67,1,1,947,688,38,computation,T3,True
T12,Task_12,14,5,68,1,4,1390,266,42,IO-bound,T2,False
T13,Task_13,19,7,44,1,3,1896,539,44,data-intensive,T6,False
T14,Task_14,31,5,44,3,4,1377,488,219,computation,T2,False
T15,Task_15,50,10,99,4,2,1864,789,450,data-intensive,"T11,T7",False
T16,Task_16,24,7,84,3,4,1074,666,379,data-intensive,T15,True
T17,Task_17,45,8,57,1,1,1269,934,451,computation,,False
T18,Task_18,35,9,81,2,1,838,290,86,IO-bound,,False
T19,Task_19,26,10,34,3,2,863,568,51,data-intensive,,False
T20,Task_20,45,6,26,3,1,1810,159,161,data-intensive,"T19,T11",True
T21,Task_21,39,1,59,5,1,684,556,103,data-intensive,T13,False
T22,Task_22,4,4,42,1,4,818,635,319,data-intensive,,True
T23,Task_23,16,3,95,4,2,345,715,307,computation,T3,False
T24,Task_24,10,4,80,3,4,697,208,337,computation,T22,True
T25,Task_25,31,3,57,1,1,2046,306,459,computation,,False
T26,Task_26,38,4,58,2,4,1826,137,299,computation,"T8,T20",True
T27,Task_27,29,8,82,1,2,856,782,117,data-intensive,T20,False
T28,Task_28,34,6,62,5,4,803,124,235,IO-bound,"T16,T15",False
T29,Task_29,28,1,95,4,1,1621,370,470,computation,"T6,T8",True
T30,Task_30,42,6,44,2,4,1443,135,3,IO-bound,"T10,T4",False
T31,Task_31,36,5,69,5,4,1257,584,231,IO-bound,T30,False
T32,Task_32,5,5,44,2,4,682,635,291,data-intensive,"T10,T18",True
T33,Task_33,40,9,21,4,1,944,887,410,data-intensive,"T28,T21",True
T34,Task_34,6,5,96,4,4,838,218,343,data-intensive,,False
T35,Task_35,39,4,91,5,4,1938,820,376,IO-bound,,True
T36,Task_36,38,1,83,3,1,1131,261,136,data-intensive,T19,False
T37,Task_37,50,2,54,1,1,1755,107,374,data-intensive,T36,False
T38,Task_38,7,2,75,1,2,454,678,253,IO-bound,,False
T39,Task_39,22,2,69,2,1,624,962,201,IO-bound,T32,True
T40,Task_40,44,8,64,3,2,1940,651,317,computation,"T23,T4",True
T41,Task_41,49,4,48,4,2,1970,117,369,IO-bound,,True
T42,Task_42,9,4,40,1,4,1732,989,152,data-intensive,,True
T43,Task_43,42,7,90,1,2,975,767,405,data-intensive,,False
T44,Task_44,34,1,72,3,3,950,422,434,IO-bound,,False
T45,Task_45,9,2,39,1,1,906,574,11,data-intensive,,False
T46,Task_46,17,2,92,2,4,1134,641,96,IO-bound,T27,True
T47,Task_47,43,3,87,1,2,2038,737,419,computation,,True
T48,Task_48,9,2,30,1,4,1964,285,165,computation,,False
T49,Task_49,0,7,37,4,3,1130,710,135,IO-bound,,True
T50,Task_50,27,1,91,2,4,1929,477,266,computation,,True
T51,Task_51,13,2,21,1,3,271,623,412,computation,,True
T52,Task_52,26,6,99,2,2,1988,953,352,IO-bound,T49,False
T53,Task_53,22,8,100,2,3,1383,148,227,IO-bound,"T28,T25",False
T54,Task_54,11,8,42,3,1,602,944,201,IO-bound,T6,False
T55,Task_55,33,5,43,1,2,1057,558,393,IO-bound,T34,False
T56,Task_56,38,3,48,3,2,1087,346,441,computation,T33,False
T57,Task_57,36,2,56,3,2,1287,546,449,IO-bound,T2,True
T58,Task_58,13,5,30,4,3,1602,866,104,data-intensive,,False
T59,Task_59,32,4,78,2,1,382,207,480,computation,,True
T60,Task_60,43,4,64,2,1,277,687,67,IO-bound,,True
T61,Task_61,28,4,83,1,3,810,363,247,data-intensive,T5,True
T62,Task_62,14,1,74,5,2,1919,228,419,data-intensive,,False
T63,Task_63,30,6,95,4,2,604,174,325,IO-bound,,True
T64,Task_64,3,6,47,1,2,1576,351,94,data-intensive,"T23,T37",True
T65,Task_65,24,6,68,4,2,1610,535,179,data-intensive,"T6,T12",False
T66,Task_66,47,7,60,1,1,527,585,62,data-intensive,"T65,T58",False
T67,Task_67,38,5,76,2,2,2021,501,407,computation,,True
T68,Task_68,23,6,48,2,1,1223,251,235,computation,,True
T69,Task_69,2,4,41,2,2,1249,620,471,IO-bound,,True
T70,Task_70,5,1,54,5,1,1996,976,57,IO-bound,"T52,T65",False
T71,Task_71,46,3,56,5,1,703,323,131,IO-bound,T70,False
T72,Task_72,14,10,55,2,3,2011,201,182,IO-bound,,False
T73,Task_73,26,10,33,1,1,444,827,84,data-intensive,,False
T74,Task_74,46,1,57,5,2,798,307,346,data-intensive,"T62,T8",False
T75,Task_75,24,4,43,1,4,1864,766,44,data-intensive,T66,False
